NodeID,X,Y
0,323.7837,-392.9524
1,259.0215,217.5001
2,370.8701,89.3038
3,-459.3637,205.8263
4,436.7448,-236.4096
5,393.5325,-171.7045
6,316.4249,285.1383
7,-425.4908,-37.8801
8,361.5356,-233.3645
9,-0.1827,-388.9612
10,43.3588,-462.4960
11,129.7183,-21.1264
12,-329.6676,-323.3899
13,265.0954,496.1779
14,176.3180,-82.5769
15,-99.8342,-378.0286
16,-208.5420,-392.4404
17,-393.5262,317.1137
18,390.6784,-237.1155
19,-160.6760,-363.3721
20,-124.6663,-371.3905
21,-185.2477,380.8878
22,-373.3395,166.3820
23,25.8329,-52.1749
24,-48.7961,452.2677
25,-39.0295,443.9190
26,255.1043,-189.6045
27,-404.5790,-90.8888
28,-263.7600,-341.4167
29,239.8065,496.4820
30,-211.3813,182.6820
31,110.3292,73.9656
32,-29.4438,-172.0785
33,287.3638,283.5746
34,-413.8610,-373.9029
35,-229.8089,-387.0906
36,165.2714,-185.3159
37,233.6456,216.3325
38,-375.4421,41.8275
39,-395.4689,355.7272
40,-219.6615,-147.9789
41,100.9977,118.2386
42,154.3728,234.0879
43,-230.6354,-40.4611
44,169.6099,453.3091
45,-290.9830,364.3122
46,-381.0366,210.5849
47,-49.8344,186.5281
48,223.6611,-436.4332
49,365.6690,-369.0990
50,-440.1958,439.0279
51,-209.3353,350.9709
52,485.3720,178.4209
53,396.5349,466.1428
54,56.8275,364.2315
55,-473.0228,204.3030
56,-295.7136,456.7410
57,-327.9929,-65.4837
58,-397.2393,195.2091
59,185.7164,96.9158
