id,source,target,distance
0,0,5,154.4275
1,0,20,193.7926
2,0,26,193.2695
3,0,48,175.1224
4,0,50,176.3975
5,0,55,13.4268
6,1,4,109.8861
7,1,10,41.7511
8,1,31,177.8234
9,1,43,190.2209
10,1,54,153.7451
11,1,57,150.0301
12,1,58,145.5173
13,2,13,128.1450
14,2,58,146.3610
15,3,13,179.0165
16,3,22,35.1085
17,3,29,65.7678
18,3,33,47.7431
19,4,1,109.8861
20,4,10,151.0913
21,4,12,125.3488
22,4,31,74.6892
23,4,43,83.5845
24,4,57,196.3628
25,5,0,154.4275
26,5,6,172.5828
27,5,20,46.5295
28,5,26,151.2559
29,5,34,63.9976
30,5,48,180.3303
31,5,50,86.2128
32,5,55,142.9642
33,6,5,172.5828
34,6,18,77.5183
35,6,20,139.6340
36,6,21,118.3795
37,6,26,75.3493
38,6,48,125.9641
39,6,50,91.7828
40,7,8,177.7448
41,7,15,110.4485
42,7,24,191.2099
43,7,28,91.6769
44,7,47,197.1549
45,7,49,106.1167
46,8,7,177.7448
47,8,15,108.9439
48,8,24,39.8221
49,8,25,70.3843
50,8,28,144.0722
51,8,38,189.0803
52,8,56,97.3032
53,8,59,160.6271
54,9,23,199.2611
55,9,35,170.6661
56,9,39,120.2609
57,9,40,190.3454
58,9,45,127.0955
59,9,46,138.0547
60,9,51,41.6640
61,10,1,41.7511
62,10,4,151.0913
63,10,54,115.0152
64,10,57,142.8970
65,10,58,148.6884
66,11,27,78.4313
67,11,30,49.8168
68,11,35,130.5141
69,11,39,148.7244
70,11,40,162.7098
71,11,41,132.0190
72,11,44,190.2290
73,11,47,160.9735
74,11,52,70.9212
75,12,4,125.3488
76,12,17,166.3757
77,12,25,156.5894
78,12,31,108.2854
79,12,43,43.2817
80,12,56,125.8771
81,12,59,79.4373
82,13,2,128.1450
83,13,3,179.0165
84,13,22,145.3656
85,13,29,164.2925
86,13,33,143.2316
87,13,54,144.1649
88,13,58,146.7912
89,14,36,50.4229
90,15,7,110.4485
91,15,8,108.9439
92,15,24,141.7777
93,15,25,148.4380
94,15,28,36.9687
95,15,38,128.5076
96,15,56,194.9597
97,16,35,113.2778
98,16,39,190.0692
99,16,40,68.8094
100,16,44,68.0032
101,16,45,127.3594
102,16,46,169.8334
103,17,12,166.3757
104,17,31,157.6792
105,17,43,172.0631
106,17,59,166.0000
107,18,6,77.5183
108,18,20,187.5725
109,18,21,42.4021
110,18,26,56.4834
111,18,48,72.8797
112,18,50,120.8409
113,19,24,193.7928
114,19,27,173.9500
115,19,32,79.6639
116,19,41,189.8580
117,19,42,145.8505
118,19,53,78.0897
119,19,56,199.0752
120,19,57,183.9298
121,20,0,193.7926
122,20,5,46.5295
123,20,6,139.6340
124,20,18,187.5725
125,20,26,138.1926
126,20,29,188.6275
127,20,34,67.1982
