id,source,target,distance
0,0,10,147.1771
1,0,20,47.8959
2,1,4,124.3634
3,1,11,131.1418
4,1,12,87.1113
5,1,21,174.2975
6,1,22,106.1795
7,1,25,172.1258
8,1,34,146.9537
9,1,35,188.6320
10,1,41,195.0711
11,1,42,131.3184
12,1,59,123.5688
13,2,7,87.1660
14,2,32,90.1275
15,2,49,129.6533
16,3,5,71.1122
17,3,24,98.2572
18,3,33,93.6986
19,3,40,168.1404
20,3,54,195.1552
21,4,1,124.3634
22,4,6,193.2664
23,4,12,151.1360
24,4,20,198.1604
25,4,22,190.2576
26,4,41,193.3099
27,4,44,199.4972
28,4,59,13.0667
29,5,3,71.1122
30,5,24,162.9191
31,5,33,111.1434
32,5,40,127.9508
33,5,54,180.2691
34,6,4,193.2664
35,6,20,186.6102
36,6,41,191.2463
37,6,43,120.9509
38,6,44,136.9785
39,7,2,87.1660
40,7,23,172.4716
41,7,32,3.0923
42,7,36,174.8315
43,7,49,131.9508
44,8,19,90.4858
45,8,53,189.6611
46,8,55,149.6299
47,9,21,94.9921
48,9,25,64.2476
49,9,42,99.1245
50,10,0,147.1771
51,10,15,171.2494
52,10,20,175.2257
53,10,26,121.4432
54,10,52,193.0630
55,10,57,145.5241
56,11,1,131.1418
57,11,12,96.7573
58,11,22,58.6505
59,11,34,92.4216
60,11,35,101.9911
61,11,45,180.2265
62,11,56,135.9360
63,12,1,87.1113
64,12,4,151.1360
65,12,11,96.7573
66,12,22,40.6974
67,12,34,62.5607
68,12,35,191.5156
69,12,39,186.7202
70,12,45,157.1420
71,12,56,151.1441
72,12,57,155.6804
73,12,59,142.7789
74,13,17,145.4186
75,13,18,71.5523
76,13,30,69.3151
77,13,47,174.3726
78,13,53,184.2533
79,13,58,151.3331
80,14,16,81.6412
81,14,28,92.8123
82,14,29,121.1832
83,14,38,77.9391
84,15,10,171.2494
85,15,26,128.2194
86,15,31,142.2189
87,15,34,166.7725
88,15,39,39.9268
89,15,45,100.3162
90,15,48,182.0488
91,15,50,185.3485
92,15,51,191.2465
93,15,56,167.0028
94,15,57,60.8825
95,16,14,81.6412
96,16,28,173.2358
97,16,29,47.2230
98,16,38,28.8537
99,16,58,191.3989
100,17,13,145.4186
101,17,18,130.4143
102,17,30,131.8787
103,17,39,196.7196
104,17,45,176.3832
105,17,46,126.9740
106,17,47,97.4160
107,17,51,161.5771
108,17,56,176.4439
109,17,58,155.6363
110,18,13,71.5523
111,18,17,130.4143
112,18,30,126.8610
113,18,47,117.6139
114,18,53,144.4666
115,19,8,90.4858
116,20,0,47.8959
117,20,4,198.1604
118,20,6,186.6102
119,20,10,175.2257
120,20,59,198.1741
121,21,1,174.2975
122,21,9,94.9921
123,21,25,32.0416
124,21,41,105.8703
125,21,42,44.2985
126,21,44,169.1207
127,22,1,106.1795
128,22,4,190.2576
129,22,11,58.6505
130,22,12,40.6974
131,22,34,48.7727
132,22,35,158.3490
133,22,39,190.8742
134,22,45,149.1211
135,22,56,126.4462
136,22,57,176.3446
137,22,59,182.5221
138,23,7,172.4716
139,23,26,190.6816
