id,source,target,demand
0,31,24,1.3817
1,5,36,0.4515
2,38,44,0.1311
3,6,39,0.4213
4,18,33,0.3025
5,39,33,1.6243
6,17,23,0.3334
7,56,11,0.2310
8,29,24,1.1248
9,46,57,0.4113
10,55,58,0.1466
11,46,26,0.4804
12,25,48,0.1821
13,26,55,1.3543
14,58,53,0.1589
15,3,44,1.6564
16,1,50,0.4221
17,33,1,0.1837
18,16,25,0.3143
19,55,22,0.4597
20,8,10,0.2959
21,26,8,0.3842
22,20,19,1.3061
23,43,44,0.1286
24,6,49,0.3531
25,19,8,0.4226
26,15,26,1.8518
27,8,24,1.7019
28,10,56,1.2425
29,32,4,1.0280
30,30,36,0.1858
31,29,32,0.2182
32,22,53,0.2684
33,57,31,0.4000
34,43,42,0.2970
35,7,55,0.3871
36,6,22,0.1450
37,0,56,0.3740
38,39,24,0.1518
39,31,54,0.4897
40,41,40,0.4391
41,51,15,0.1928
42,54,0,0.4767
43,1,46,0.3398
44,51,55,0.3070
45,11,7,0.2185
46,39,7,0.2461
47,5,20,0.3073
48,25,27,0.2989
49,54,1,0.1908
