Scenario,N_Nodes,K_Flows,Alpha,Stress,Algorithm,Obj_F,T_max,T_sum,F_gap,E_total,Active_Links,Multipaths,EE(Mbits/J),JFI,Avg_Delay,Iteration,Time(ms)
Varying_K,60,20,0.4,5,BCD-FW,0.391754,1.69155,1.69155,0,0.0577067,57,0,580.322,0.997628,0.586309,2,11009
Varying_K,60,20,0.4,5,BCD-IPM,0.395107,1.70497,1.70497,0,0.0583333,56,1,574.089,0.999652,0.605756,5,77173
Varying_K,60,20,0.4,5,Game-Greedy,0.576425,0.82189,0.82189,0,0.295073,47,0,113.492,0.909241,0.1737,1,27
Varying_K,60,20,0.4,5,SCA-Baseline,1.62965,1.62301,1.62301,0,0.922547,64,0,36.3,0.587456,0.125812,1,908
Varying_K,60,20,0.4,5,SP-PDA,0.410559,1.79353,1.79353,0,0.0578571,65,0,578.814,0.994215,0.541508,1,507
Varying_K,60,20,0.4,5,KSP-PDA,2.43392,3.35151,5.07343,0.688769,1.26091,178,20,26.559,0.526917,0.144078,1,162
Varying_K,60,20,0.4,5,Static-Allocation,1.62417,1.64726,1.64726,0,0.915699,65,0,36.5715,0.589221,0.126132,1,23
Varying_K,60,25,0.4,5,BCD-FW,0.318541,2.97214,2.97214,0,0.0962406,63,0,808.385,0.93788,1.05209,3,18683
Varying_K,60,25,0.4,5,BCD-IPM,0.358172,3.38153,3.38153,0,0.103511,115,19,751.606,0.946328,0.708575,2,30598
Varying_K,60,25,0.4,5,Game-Greedy,0.450775,1.31024,1.31024,0,0.479868,52,0,162.127,0.816335,0.310896,1,53
Varying_K,60,25,0.4,5,SCA-Baseline,1.67221,3.05611,3.05611,0,1.99429,73,0,39.0112,0.464339,0.258656,1,1191
Varying_K,60,25,0.4,5,SP-PDA,0.318093,2.97532,2.97532,0,0.095231,75,0,816.955,1,0.991162,1,569
Varying_K,60,25,0.4,5,KSP-PDA,2.30078,25.2579,32.73,2.98885,0.24525,226,25,317.225,0.5445,1.21706,1,306
Varying_K,60,25,0.4,5,Static-Allocation,1.39724,3.34308,3.34308,0,1.57266,75,0,49.4701,0.454989,0.249624,1,28
Varying_K,60,30,0.4,5,BCD-FW,0.477239,3.55399,3.55399,0,0.127868,72,0,585.461,0.93977,1.31525,3,23570
Varying_K,60,30,0.4,5,BCD-IPM,0.476315,3.55524,3.55524,0,0.126509,82,4,591.75,0.961537,1.21439,4,153422
Varying_K,60,30,0.4,5,Game-Greedy,0.677688,1.6811,1.6811,0,0.641427,56,0,116.712,0.814959,0.406381,1,42
Varying_K,60,30,0.4,5,SCA-Baseline,2.41726,3.08153,3.08153,0,2.68617,70,0,27.8694,0.576543,0.320931,1,1462
Varying_K,60,30,0.4,5,SP-PDA,0.503339,3.76728,3.76728,0,0.132276,84,0,565.955,0.961422,1.24964,1,624
Varying_K,60,30,0.4,5,KSP-PDA,9.75903,89.9209,112.934,9.20535,0.258484,215,30,289.62,0.197438,1.67387,1,421
Varying_K,60,30,0.4,5,Static-Allocation,2.20618,3.98043,3.98043,0,2.29203,84,0,32.6619,0.550907,0.314495,1,35
Varying_K,60,35,0.4,5,BCD-FW,0.500307,5.73371,5.73371,0,0.169575,85,0,500.2,0.959589,2.09034,2,18416
Varying_K,60,35,0.4,5,BCD-IPM,0.471926,5.40282,5.40282,0,0.16061,82,7,528.122,0.939858,1.98881,4,180713
Varying_K,60,35,0.4,5,Game-Greedy,0.84408,1.86593,1.86593,0,1.19452,61,0,71.0091,0.823923,0.530547,1,50
Varying_K,60,35,0.4,5,SCA-Baseline,2.14458,4.28625,4.28625,0,3.08783,82,0,27.4696,0.495181,0.383099,1,1583
Varying_K,60,35,0.4,5,SP-PDA,0.534943,6.26426,6.26426,0,0.165768,95,0,511.687,0.96879,1.94098,1,360
Varying_K,60,35,0.4,5,KSP-PDA,0.777294,8.76138,13.5405,1.91165,0.280527,225,35,302.365,0.943758,1.50966,1,537
Varying_K,60,35,0.4,5,Static-Allocation,2.01944,5.11572,5.11572,0,2.78204,95,0,30.4889,0.471975,0.37865,1,40
Varying_K,60,40,0.4,5,BCD-FW,0.439217,5.71347,5.71347,0,0.165266,87,0,611.98,0.894082,2.15877,2,26431
Varying_K,60,40,0.4,5,BCD-IPM,0.479976,6.30463,6.49885,0.0776903,0.174019,153,32,581.196,0.913068,1.51068,2,175251
Varying_K,60,40,0.4,5,Game-Greedy,0.783983,3.05428,3.05428,0,1.06652,63,0,94.8311,0.720406,0.561005,1,65
Varying_K,60,40,0.4,5,SCA-Baseline,2.78051,5.76246,5.76246,0,4.33012,101,0,23.3572,0.448231,0.428975,1,2128
Varying_K,60,40,0.4,5,SP-PDA,0.490812,6.56592,6.56592,0,0.1651,96,0,612.594,0.963207,2.23376,1,534
Varying_K,60,40,0.4,5,KSP-PDA,0.857148,11.6138,18.3339,2.68802,0.272432,255,40,371.247,0.891061,1.55781,1,1018
