Scenario,N_Nodes,K_Flows,Alpha,Stress,Algorithm,Obj_F,T_max,T_sum,F_gap,E_total,Active_Links,Multipaths,EE(Mbits/J),JFI,Avg_Delay,Iteration,Time(ms)
Varying_K,60,20,0.4,5,BCD-FW,0.360922,1.53525,1.53525,0,0.0560858,47,0,597.094,0.998782,0.647342,2,954
Varying_K,60,20,0.4,5,BCD-IPM,0.360922,1.53525,1.53525,0,0.0560858,47,0,597.094,0.998782,0.647342,2,27553
Varying_K,60,25,0.4,5,BCD-FW,0.295323,2.73041,2.73041,0,0.0922034,52,0,843.781,0.936332,1.16441,2,1141
Varying_K,60,25,0.4,5,BCD-IPM,0.295323,2.73041,2.73041,0,0.0922034,52,0,843.781,0.936332,1.16441,2,34898
Varying_K,60,30,0.4,5,BCD-FW,0.429239,3.13061,3.13061,0,0.124015,56,0,603.655,0.93705,1.48486,2,1284
Varying_K,60,30,0.4,5,BCD-IPM,0.429239,3.13061,3.13061,0,0.124015,56,0,603.655,0.93705,1.48486,2,62765
Varying_K,60,35,0.4,5,BCD-FW,0.375848,4.16069,4.16069,0,0.144456,61,0,587.177,0.950656,2.1209,2,1375
Varying_K,60,35,0.4,5,BCD-IPM,0.375904,4.16135,4.16135,0,0.144472,61,2,587.113,0.95055,2.12131,2,125319
Varying_K,60,40,0.4,5,BCD-FW,0.371389,4.69891,4.69891,0,0.154024,63,0,656.646,0.909792,2.50889,2,5445
Varying_K,60,40,0.4,5,BCD-IPM,0.371389,4.69891,4.69891,0,0.154024,63,0,656.646,0.909792,2.50889,2,171520
Varying_K,60,45,0.4,5,BCD-FW,1.04171,3.0225,0,0,1.65661,273,0,74.7951,0.755513,0.649797,2,734
Varying_K,60,45,0.4,5,BCD-IPM,0.440659,5.37915,5.37915,0,0.200183,70,1,618.967,0.917176,2.89119,2,156144
Varying_K,60,50,0.4,5,BCD-FW,0.348482,4.52116,4.52116,0,0.153803,72,0,858.892,0.914371,2.61269,2,1553
Varying_K,60,50,0.4,5,BCD-IPM,0.435565,5.83524,5.83524,0,0.172663,73,20,765.076,0.907243,3.02004,2,92085
Varying_N,60,20,0.4,5,BCD-FW,0.489926,1.40483,0,0,0.371975,181,0,120.68,0.804843,0.251619,2,571
Varying_N,60,20,0.4,5,BCD-IPM,0.489926,1.40483,0,0,0.371975,181,0,120.68,0.804843,0.251619,2,33073
Varying_N,80,20,0.4,5,BCD-FW,0.444533,2.02935,2.02935,0,0.0769234,48,0,483.279,0.952708,0.77295,2,1365
Varying_N,80,20,0.4,5,BCD-IPM,0.444521,2.02926,2.02926,0,0.0769274,48,1,483.254,0.952745,0.772875,2,53153
Varying_N,100,20,0.4,5,BCD-FW,0.349336,2.28763,2.28763,0,0.079284,56,0,623.001,0.970658,0.779842,2,1937
Varying_N,100,20,0.4,5,BCD-IPM,0.348818,2.28405,2.28405,0,0.0791904,56,1,623.737,0.970673,0.778655,2,83726
Varying_N,120,20,0.4,5,BCD-FW,0.400599,1.71775,0,0,0.269557,300,0,202.15,0.827673,0.294601,2,2612
Varying_N,120,20,0.4,5,BCD-IPM,0.400599,1.71775,0,0,0.269557,300,0,202.15,0.827673,0.294601,2,261831
Varying_N,140,20,0.4,5,BCD-FW,0.37269,1.09841,0,0,0.13737,297,0,334.707,0.87284,0.216541,2,3067
Varying_N,140,20,0.4,5,BCD-IPM,0.37269,1.09841,0,0,0.13737,297,0,334.707,0.87284,0.216541,2,170257
Varying_N,160,20,0.4,5,BCD-FW,0.363529,1.58962,1.58962,0,0.0594263,62,0,533.324,1,0.512337,2,4328
Varying_N,160,20,0.4,5,BCD-IPM,0.363529,1.58962,1.58962,0,0.0594263,62,0,533.324,1,0.512337,2,223839
Varying_N,180,20,0.4,5,BCD-FW,0.461886,3.13062,0,0,0.260901,337,0,269.842,0.821586,0.414663,2,5837
Varying_N,180,20,0.4,5,BCD-IPM,0.461886,3.13062,0,0,0.260901,337,0,269.842,0.821586,0.414663,2,707381
