id,source,target,distance
0,0,3,60.4093
1,0,7,192.0423
2,0,10,78.7669
3,0,26,193.4012
4,0,35,142.5953
5,0,57,159.8704
6,0,59,35.0964
7,1,32,170.9397
8,1,37,139.0244
9,1,45,173.3508
10,1,51,107.5282
11,1,58,42.0204
12,2,8,100.0177
13,2,28,127.8489
14,2,30,196.6537
15,3,0,60.4093
16,3,10,25.2580
17,3,26,181.6462
18,3,35,82.3561
19,3,57,131.0541
20,3,59,37.2159
21,4,20,65.3073
22,4,29,17.2011
23,4,31,180.0380
24,4,42,195.1636
25,4,43,24.6558
26,4,54,75.2027
27,5,13,154.2824
28,5,22,112.4432
29,5,23,180.9414
30,5,34,99.0621
31,5,55,172.2175
32,5,57,178.8201
33,6,9,182.4821
34,6,18,33.0655
35,6,20,144.6848
36,6,31,65.5448
37,6,42,81.2398
38,6,46,64.2129
39,6,49,119.7903
40,6,54,140.4000
41,7,0,192.0423
42,7,10,198.6308
43,7,13,193.3358
44,7,25,64.2457
45,7,36,60.8258
46,7,47,196.2405
47,7,57,140.8990
48,8,2,100.0177
49,8,28,176.4108
50,8,30,126.2200
51,9,6,182.4821
52,9,12,174.2396
53,9,16,153.0730
54,9,18,163.5052
55,9,46,161.5078
56,9,49,119.6241
57,10,0,78.7669
58,10,3,25.2580
59,10,7,198.6308
60,10,25,186.4819
61,10,35,71.6870
62,10,57,107.9551
63,10,59,61.6633
64,11,15,175.1431
65,11,48,172.8214
66,12,9,174.2396
67,12,15,177.8260
68,12,27,111.2905
69,12,48,182.5691
70,12,50,185.9247
71,12,53,195.9542
72,12,56,84.3238
73,13,5,154.2824
74,13,7,193.3358
75,13,22,183.6324
76,13,25,141.8998
77,13,36,135.5132
78,13,57,193.7859
79,14,39,160.2534
80,14,47,198.2842
81,15,11,175.1431
82,15,12,177.8260
83,15,27,112.8014
84,15,33,142.9614
85,15,38,102.3045
86,15,48,4.9921
87,15,53,166.1227
88,15,56,129.5667
89,16,9,153.0730
90,16,19,192.7112
91,16,21,191.0905
92,16,40,130.4832
93,16,41,177.5620
94,16,44,111.6208
95,16,46,154.1710
96,16,49,95.5118
97,17,19,156.4501
98,17,23,70.7118
99,17,24,111.8764
100,17,30,159.7931
101,17,34,144.5911
102,17,41,192.5952
103,17,55,96.2649
104,18,6,33.0655
105,18,9,163.5052
106,18,20,169.5980
107,18,31,66.2249
108,18,42,72.4643
109,18,46,82.3689
110,18,49,124.7760
111,18,54,160.2400
112,19,16,192.7112
113,19,17,156.4501
114,19,21,108.6726
115,19,22,198.3007
116,19,24,82.5041
117,19,40,106.8007
118,19,41,42.1087
119,19,44,163.6639
120,19,50,189.3269
121,19,55,73.4548
122,20,4,65.3073
123,20,6,144.6848
124,20,18,169.5980
125,20,29,61.5798
126,20,31,123.3646
127,20,42,142.0820
128,20,43,80.2938
129,20,46,180.2481
130,20,54,32.8148
131,21,16,191.0905
132,21,19,108.6726
133,21,22,129.5805
134,21,24,191.1689
135,21,40,179.4401
136,21,41,67.5578
137,21,50,82.0254
138,21,55,149.9343
139,22,5,112.4432
140,22,13,183.6324
141,22,19,198.3007
142,22,21,129.5805
143,22,34,198.2969
144,22,41,172.3350
145,22,50,142.7598
146,22,55,189.1401
147,23,5,180.9414
148,23,17,70.7118
149,23,24,177.3862
150,23,30,138.0745
151,23,34,89.6177
152,23,35,195.1080
153,23,55,130.4550
154,24,17,111.8764
155,24,19,82.5041
156,24,21,191.1689
157,24,23,177.3862
158,24,40,108.1226
159,24,41,124.2879
160,24,44,160.2762
161,24,51,195.5550
162,24,55,89.3886
163,25,7,64.2457
164,25,10,186.4819
165,25,13,141.8998
166,25,36,17.3309
167,25,57,98.7287
168,26,0,193.4012
169,26,3,181.6462
170,26,35,189.2056
171,26,59,166.0271
172,27,12,111.2905
173,27,15,112.8014
174,27,33,97.5280
175,27,38,157.1253
176,27,48,117.5391
177,27,50,152.0693
178,27,53,92.7359
179,27,56,28.3561
180,28,2,127.8489
181,28,8,176.4108
182,28,30,188.2851
183,28,52,186.7412
184,29,4,17.2011
185,29,20,61.5798
186,29,31,168.5101
187,29,42,182.4048
188,29,43,18.7182
189,29,54,64.0024
190,30,2,196.6537
191,30,8,126.2200
192,30,17,159.7931
193,30,23,138.0745
194,30,28,188.2851
195,30,35,192.4854
196,31,4,180.0380
197,31,6,65.5448
198,31,18,66.2249
199,31,20,123.3646
200,31,29,168.5101
201,31,42,23.3894
202,31,43,183.8883
203,31,46,129.4191
204,31,49,184.3317
205,31,54,104.8896
206,32,1,170.9397
207,32,37,77.3836
208,32,45,103.3712
209,32,51,186.2515
