id,source,target,distance
0,0,11,116.8987
1,0,23,166.3165
2,0,24,150.3538
3,0,37,56.3634
4,0,45,153.1319
5,0,50,189.1637
6,0,78,197.3926
7,1,19,108.0108
8,1,26,184.6422
9,1,28,153.9468
10,1,40,65.2234
11,1,43,178.0359
12,1,55,125.4781
13,1,57,78.8438
14,1,65,163.4767
15,1,68,129.4637
16,1,69,173.0315
17,1,71,147.3539
18,1,72,76.5316
19,1,75,148.3266
20,1,76,56.3470
21,2,8,95.1106
22,2,18,182.3307
23,2,30,156.2269
24,2,35,110.0305
25,2,49,106.3295
26,2,70,78.6058
27,2,73,169.7605
28,3,15,173.2523
29,3,24,131.1322
30,3,29,169.8878
31,3,30,191.7269
32,3,36,50.4246
33,3,42,156.8316
34,3,44,169.8779
35,3,45,129.0323
36,3,46,139.3323
37,3,62,171.9060
38,3,74,154.3186
39,3,78,181.2657
40,3,79,41.2875
41,4,5,199.2156
42,4,9,179.3856
43,4,22,182.4448
44,4,31,126.3330
45,4,41,193.2188
46,4,52,49.5016
47,4,53,149.4802
48,5,4,199.2156
49,5,9,34.5019
50,5,12,199.2223
51,5,25,68.3010
52,5,31,159.3348
53,5,41,15.8829
54,5,44,152.6842
55,5,54,107.9833
56,5,61,41.1344
57,6,16,109.6256
58,6,20,188.4475
59,6,31,195.3789
60,6,34,69.1643
61,6,48,136.0345
62,6,52,193.0103
63,6,59,197.9632
64,6,66,92.5812
65,7,26,182.1516
66,7,38,181.0514
67,7,47,190.1219
68,7,55,157.8746
69,7,69,198.0915
70,7,71,199.2676
71,8,2,95.1106
72,8,15,168.1920
73,8,18,167.1892
74,8,27,136.6438
75,8,30,184.5778
76,8,35,48.3482
77,8,49,133.9518
78,8,62,184.1849
79,8,63,195.1979
80,8,70,107.7980
81,8,73,102.6901
82,9,4,179.3856
83,9,5,34.5019
84,9,12,175.8337
85,9,25,98.5351
86,9,31,125.7033
87,9,32,185.6138
88,9,41,43.9377
89,9,44,158.4771
90,9,54,125.3524
91,9,61,75.6183
92,10,42,137.3278
93,10,67,73.9986
94,10,78,120.8356
95,11,0,116.8987
96,11,14,107.3154
97,11,23,156.1577
98,11,37,164.5269
99,11,39,141.9610
100,12,5,199.2223
101,12,9,175.8337
102,12,31,169.2672
103,12,32,96.6668
104,12,44,153.9925
105,12,46,147.4152
106,12,54,189.6188
107,12,56,37.3898
108,12,58,149.0133
109,12,74,187.9918
110,12,77,98.2349
111,13,18,94.8451
112,13,27,188.5105
113,13,35,169.6527
114,13,49,179.4381
115,13,51,110.6772
116,13,73,116.7694
117,14,11,107.3154
118,14,23,139.9200
119,14,39,34.8982
120,15,3,173.2523
121,15,8,168.1920
122,15,29,52.5610
123,15,30,157.2904
124,15,58,173.4228
125,15,62,20.9730
126,15,63,134.7502
127,15,70,157.6426
128,15,74,96.5105
129,15,79,170.8342
130,16,6,109.6256
131,16,34,40.6954
132,16,66,78.9174
133,17,38,52.8152
134,17,47,49.0829
135,18,2,182.3307
136,18,8,167.1892
137,18,13,94.8451
138,18,35,120.1496
139,18,49,87.1027
140,18,51,94.3238
141,18,73,101.7781
142,19,1,108.0108
143,19,26,168.3889
144,19,40,76.4371
145,19,56,175.6205
146,19,57,91.4832
147,19,58,111.8889
148,19,63,146.1340
149,19,72,91.5464
150,19,76,90.1785
151,19,77,114.7059
152,20,6,188.4475
153,20,26,102.7937
154,20,32,188.0873
155,20,48,52.8675
156,20,59,39.9812
157,20,66,187.6454
158,21,22,143.7896
159,22,4,182.4448
160,22,21,143.7896
161,22,52,173.4452
162,22,53,137.2273
163,22,60,143.1208
164,23,0,166.3165
165,23,11,156.1577
166,23,14,139.9200
167,23,24,178.7959
168,23,25,149.4767
169,23,36,169.4863
170,23,39,155.7911
171,23,44,176.8390
172,23,45,180.5571
173,23,54,142.2728
174,23,61,183.4796
175,24,0,150.3538
176,24,3,131.1322
177,24,23,178.7959
178,24,36,96.1163
179,24,37,157.2112
180,24,42,80.1284
181,24,45,2.8081
182,24,67,140.1394
183,24,78,92.9826
184,24,79,123.3806
185,25,5,68.3010
186,25,9,98.5351
187,25,23,149.4767
188,25,41,72.4293
189,25,44,122.4748
190,25,46,174.0004
191,25,54,62.0638
192,25,61,40.3134
193,26,1,184.6422
194,26,7,182.1516
195,26,19,168.3889
196,26,20,102.7937
197,26,48,151.5300
198,26,55,157.5733
199,26,57,107.1576
200,26,59,90.0894
201,26,76,129.0015
202,26,77,190.2867
203,27,8,136.6438
204,27,13,188.5105
205,27,35,130.8771
206,27,40,187.7492
207,27,63,124.5361
